[21:45:19] [Client thread/INFO]: Setting user: Dams4LT
[21:45:19] [Client thread/INFO]: (Session ID is token:null:null)
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.attack:key.mouse.left
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.use:key.mouse.right
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.forward:key.keyboard.w
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.left:key.keyboard.a
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.back:key.keyboard.s
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.right:key.keyboard.d
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.jump:key.keyboard.space
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.sneak:key.keyboard.left.shift
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.sprint:key.keyboard.left.control
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.drop:key.keyboard.q
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.inventory:key.keyboard.e
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.chat:key.keyboard.t
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.playerlist:key.keyboard.tab
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.pickItem:key.mouse.middle
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.command:key.keyboard.slash
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.screenshot:key.keyboard.f2
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.togglePerspective:key.keyboard.f5
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.smoothCamera:key.keyboard.unknown
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.fullscreen:key.keyboard.f11
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.spectatorOutlines:key.keyboard.unknown
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.hotbar.1:key.keyboard.1
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.hotbar.2:key.keyboard.2
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.hotbar.3:key.keyboard.3
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.hotbar.4:key.keyboard.4
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.hotbar.5:key.keyboard.5
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.hotbar.6:key.keyboard.6
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.hotbar.7:key.keyboard.7
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.hotbar.8:key.keyboard.8
[21:45:20] [Client thread/WARN]: Skipping bad option: key_key.hotbar.9:key.keyboard.9
[21:45:20] [Client thread/INFO]: LWJGL Version: 2.9.4
